name,price,type,Number_door,kilometrage,first_hand,Secteur,marque,Etat,year_model,origin
Mercedes-Benz C300,87000.0,"Voitures d occasion, à vendre",5.0,160 000 - 169 999,Nan,Hay Riad,Mercedes-Benz,Très bon,2007,Nan
Mercedes Benz VP C 220 D Avantgarde,570000.0,"Voitures d occasion, à vendre",5.0,5 000 - 9 999,Nan,Bourgogne,Mercedes-Benz,Excellent,2022,Nan
BMW Série 3 320 Diesel,164429.89045383412,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Oui,Branes 2,BMW,Excellent,2010,WW au Maroc
Renault Clio,164429.89045383412,"Voitures d occasion, à vendre",5.0,90 000 - 94 999,Non,Branes 2,Renault,Excellent,2017,WW au Maroc
BM X3 xDrive,164429.89045383412,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Oui,Branes 2,BMW,Très bon,2015,WW au Maroc
Hyundai,78000.0,"Voitures d occasion, à vendre",5.0,200 000 - 249 999,Non,Nan,Hyundai,Excellent,2007,WW au Maroc
AUDI RS3 SPORTBACK,164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Centre ville,Audi,Excellent,2022,Importée neuve
Mercedez ML 320,164429.89045383412,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Non,Branes 2,Mercedes-Benz,Excellent,2005,Dédouanée
Sandero,135000.0,"Voitures d occasion, à vendre",5.0,10 000 - 14 999,Oui,Hay Cheikh Lamfadel,Dacia,Très bon,2021,WW au Maroc
FORMENTOR CUPRA DIESEL,164429.89045383412,"Voitures d occasion, à vendre",5.0,0 - 4 999,Oui,Centre ville,Cupra,Excellent,2021,Importée neuve
Hyundai h-1,164429.89045383412,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Oui,Route de Sefrou,Hyundai,Très bon,2016,WW au Maroc
Volkswagen amarok,164429.89045383412,"Voitures d occasion, à vendre",5.0,90 000 - 94 999,Oui,Hay Riad,Volkswagen,Excellent,2012,WW au Maroc
